,store_name,store_image,price
188,BRCD,https://img.siksinhot.com/place/1480387663869510.jpg?w=280&h=224&c=Y,15900.0
189,Brew3.14,https://img.siksinhot.com/place/1453285018260170.jpg?w=280&h=224&c=Y,16000.0
190,BRUN Coffee,https://img.siksinhot.com/place/1393249720374272.png?w=280&h=224&c=Y,4500.0
191,bvbb 크로와상샵,https://img.siksinhot.com/place/1554786099040105.jpg?w=280&h=224&c=Y,3000.0
192,C 플라밍고,https://img.siksinhot.com/place/1538965934508111.jpg?w=280&h=224&c=Y,7000.0
193,C156,https://img.siksinhot.com/place/1574816824923080.jpg?w=280&h=224&c=Y,13000.0
194,C27,https://img.siksinhot.com/place/1457571227742481.jpg?w=280&h=224&c=Y,4200.0
195,cafe flowing,https://img.siksinhot.com/place/1505386781825230.jpg?w=280&h=224&c=Y,3000.0
196,Cafe Lob,https://img.siksinhot.com/place/1471161432864919.PNG?w=280&h=224&c=Y,
197,cafe qooom,https://img.siksinhot.com/place/1505386781825230.jpg?w=280&h=224&c=Y,4000.0
198,Cafe ttt,https://img.siksinhot.com/place/1471161432864919.PNG?w=280&h=224&c=Y,4100.0
199,Cafe 연남동 223-14,https://img.siksinhot.com/place/1464866404792043.png?w=280&h=224&c=Y,
